Initializing new model
| epoch   2 |  8600/18246 batches | lr 0.00010 | ms/batch 237.56 | loss 7.18513
| epoch   2 |  8700/18246 batches | lr 0.00010 | ms/batch 236.66 | loss 7.19656
| epoch   2 |  8800/18246 batches | lr 0.00010 | ms/batch 236.66 | loss 7.09362
| epoch   2 |  8900/18246 batches | lr 0.00010 | ms/batch 236.65 | loss 7.06182
| epoch   2 |  9000/18246 batches | lr 0.00010 | ms/batch 236.66 | loss 7.21078
| epoch   2 |  9100/18246 batches | lr 0.00010 | ms/batch 236.69 | loss 7.18005
| epoch   2 |  9200/18246 batches | lr 0.00010 | ms/batch 236.66 | loss 7.15245
| epoch   2 |  9300/18246 batches | lr 0.00010 | ms/batch 237.99 | loss 7.25916
| epoch   2 |  9400/18246 batches | lr 0.00010 | ms/batch 236.65 | loss 7.16683
| epoch   2 |  9500/18246 batches | lr 0.00010 | ms/batch 236.62 | loss 7.21294
| epoch   2 |  9600/18246 batches | lr 0.00010 | ms/batch 236.64 | loss 7.11231
| epoch   2 |  9700/18246 batches | lr 0.00010 | ms/batch 236.62 | loss 7.07904
| epoch   2 |  9800/18246 batches | lr 0.00010 | ms/batch 236.67 | loss 7.18236
| epoch   2 |  9900/18246 batches | lr 0.00010 | ms/batch 236.64 | loss 7.28373
| epoch   2 | 10000/18246 batches | lr 0.00010 | ms/batch 237.16 | loss 7.12306
| epoch   2 | 10100/18246 batches | lr 0.00010 | ms/batch 236.62 | loss 7.22994
| epoch   2 | 10200/18246 batches | lr 0.00010 | ms/batch 236.66 | loss 7.16783
| epoch   2 | 10300/18246 batches | lr 0.00010 | ms/batch 237.55 | loss 6.99080
| epoch   2 | 10400/18246 batches | lr 0.00010 | ms/batch 236.88 | loss 7.02183
| epoch   2 | 10500/18246 batches | lr 0.00010 | ms/batch 236.65 | loss 7.20309
| epoch   2 | 10600/18246 batches | lr 0.00010 | ms/batch 236.66 | loss 7.08472
| epoch   2 | 10700/18246 batches | lr 0.00010 | ms/batch 236.66 | loss 7.10885
| epoch   2 | 10800/18246 batches | lr 0.00010 | ms/batch 236.65 | loss 7.08961
| epoch   2 | 10900/18246 batches | lr 0.00010 | ms/batch 236.66 | loss 7.16431
| epoch   2 | 11000/18246 batches | lr 0.00010 | ms/batch 236.65 | loss 7.04924
| epoch   2 | 11100/18246 batches | lr 0.00010 | ms/batch 237.57 | loss 7.11329
| epoch   2 | 11200/18246 batches | lr 0.00010 | ms/batch 237.23 | loss 7.15484
| epoch   2 | 11300/18246 batches | lr 0.00010 | ms/batch 237.82 | loss 7.01355
| epoch   2 | 11400/18246 batches | lr 0.00010 | ms/batch 237.89 | loss 7.16915
| epoch   2 | 11500/18246 batches | lr 0.00010 | ms/batch 236.66 | loss 7.01032
| epoch   2 | 11600/18246 batches | lr 0.00010 | ms/batch 236.67 | loss 7.03971
| epoch   2 | 11700/18246 batches | lr 0.00010 | ms/batch 236.65 | loss 7.03572
| epoch   2 | 11800/18246 batches | lr 0.00010 | ms/batch 236.67 | loss 6.98926
| epoch   2 | 11900/18246 batches | lr 0.00010 | ms/batch 236.65 | loss 6.99741
| epoch   2 | 12000/18246 batches | lr 0.00010 | ms/batch 236.66 | loss 7.11967
